Hafta,Konu,Kullanılabilecek Sistemler
1,Giriş ve kavramsal çerçeve,"Chat tabanlı AI (Copilot, ChatGPT)"
2,Zekâ türleri,NetLogo simülasyonları
3,Multi-agent sistemler,"LangChain, AutoGen"
4,Prompt tasarımı ve diyalog,"Copilot, Claude"
5,Etik ve sorumluluk,AI etik denetim araçları
6,Problem bulma,"Google Colab, Kaggle"
7,Araştırma ve doğrulama,"Copilot, Python scikit-learn"
8,Disiplinlerarası çalışma,"Teams, GitHub Classroom"
9,Çanakkale ekosistemi,Yerel veri entegrasyonu
10,Swarm intelligence uygulamaları
